NAME	X	Y	Cluster	Individual library (may be several per mouse)	Mouse	Timepoint
MOUSE_CELL_134	2947.9963316878266	3812.9488377143034	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_135	1239.7399743220813	4042.2292021581798	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_136	1186.2058205386093	4064.9907416203414	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_137	3346.8279301360863	3903.2009943600406	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_138	3306.05629159192	3593.2883111887577	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_139	1302.9621651321618	4160.5546647145275	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_140	1397.5798510601153	4187.0149729069735	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_141	3030.8919148034724	3514.0888323607646	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_142	1438.872782011726	3905.0673131305084	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_143	3479.761799344491	3772.181209528578	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_144	1585.811361517979	4051.335588066273	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_145	3622.08411334255	1412.6776862766546	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_146	3758.7774011432903	4267.194835097071	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_147	3306.479496968093	4013.557200188657	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_148	1212.990092460906	3977.0917719017352	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_149	1255.794822103127	3553.2243556967896	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_150	3353.488457076999	3682.1614054152783	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_151	3046.864788569821	3580.0875967707466	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_152	1303.0494894348628	3688.691679119698	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_153	1059.686636948208	4173.053488131885	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_154	3428.148237598546	4239.70813343767	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_155	2013.5235111455513	3937.621786278797	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_156	2222.491130840008	3492.0166057341444	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_157	2944.960523314613	3475.5078687026535	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_158	1152.575789149469	3774.718935395959	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_159	3665.3556080941717	1305.4554770942268	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_160	3396.573191872672	4092.0441602166807	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_161	1311.483779919514	3420.4789509653087	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_162	3582.993572274089	4179.009733704074	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_163	3635.972828636687	1377.179380859657	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_164	2854.621418000344	3885.9095604236154	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_165	3436.8387505005085	4069.357797850971	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_166	1105.6616885118756	3751.7928244879627	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_167	3368.5565930202515	3787.8088160754346	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_168	3654.0325419265782	1322.8001094790388	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_169	1210.0823967331385	4200.062774288939	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_170	1305.723501324863	3454.9510903029245	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_171	3562.7773517492988	4225.004424144309	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_172	3303.1807592126133	4038.561533777469	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_173	1181.803071778947	4198.463030517173	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_174	3535.4834089706515	4253.980643921843	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_175	1587.6203988530415	3984.067281383852	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_176	3516.2704452699736	4263.808995250345	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_177	2143.9572811674984	3724.645737574109	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_178	1332.9673050659549	4018.4119625538	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_179	2872.609287208304	3688.3544649495498	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_180	3651.9379919696157	4266.512091345723	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_181	3630.071258848957	4241.604197283199	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_182	3018.0574762510046	3966.4988096351976	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_183	2437.0397469607506	3808.5484436362335	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_184	1131.2809400977244	4217.411864528403	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_185	1380.2594442917612	3950.9437999328497	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_186	3359.205700668861	4151.184210107877	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_187	3695.7923545725607	1372.0936835812731	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_188	3642.5825572539925	4336.192080340281	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_189	2073.6660108539145	3929.052424702252	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_190	3150.1546216016714	3535.286826774546	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_191	1365.1154183834033	3822.2062021640277	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_192	1267.2603256005568	3626.9642901254997	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
